Date,strategy_return,benchmark_return,strategy_max_drawdown,benchmark_max_drawdown
2009,0.8615135002416121,1.0489384200060479,-0.04983502804926432,-0.0644628964322872
2010,0.3058556900162397,0.1413343243869687,-0.06711388457393652,-0.04655703793769117
2011,-0.131127231257133,-0.27185058720415833,-0.1958546484303385,-0.2765360978238788
2012,0.4754641087932927,0.3184490205013242,-0.11438435533767422,-0.21313309746716347
2013,0.05445750347448319,0.03613406374114425,-0.1958077493433651,-0.16028717506420753
2014,0.7732666101103329,0.37820070338578926,-0.0175362763583925,-0.053047108724760594
2015,0.24591153247860476,-0.007219145733580401,-0.03805573301816256,-0.07824916577360841
2016,-0.05835303889633947,0.038373122223133826,-0.21261152314044662,-0.19144140437843993
2017,0.8966867502036007,0.3591468422471402,-0.015417253672651232,-0.02198265345094641
2018,-0.16986090246577057,-0.03378586606681555,-0.16986090246577035,-0.12395420353906605
2019,0.105933840597223,0.07661392867442496,-0.182064856718679,-0.10368796481946707
2020,0.512358990310281,0.16669960605285494,-0.3204685194171585,-0.2997648506444861
2021,0.7444890421954977,0.3019455987270241,-0.014909466540495298,-0.029068353182989726
2022,0.07160263381946663,0.03018424808556386,-0.17256803301249013,-0.11263750596641875
2023,0.6040757768836815,0.25764549940292447,-0.15643732730451165,-0.08951262113768421
2024,0.4451394051498241,0.1516407017684951,-0.09368695773613378,-0.07712037386267367
2025,0.052011434552369895,0.06686586002956463,-0.27572554281704087,-0.18000672169152065
2026,0.16328420219424067,-0.040141924954145036,-0.14478087248384142,-0.15331482344040082
